Date,Month,Day,Year,Gen,Tier,Subject,Verdict
11-22-2016,11,22,2016,7,ou,Power Construct,BAN
11-29-2016,11,29,2016,7,ou,Aegislash,BAN
01-05-2017,1,5,2017,7,uu,Charizard-Mega-Y,BAN
01-05-2017,1,5,2017,7,uu,Kyurem-Black,BAN
01-10-2017,1,10,2017,7,ou,Genesect,BAN
01-10-2017,1,10,2017,7,uu,Dragonite,BAN
01-10-2017,1,10,2017,7,uu,Weavile,BAN
01-10-2017,1,10,2017,7,uu,Salamence,BAN
01-14-2017,1,14,2017,7,uu,Slowbro-Mega,BAN
01-14-2017,1,14,2017,7,uu,Scolipede,BAN
01-14-2017,1,14,2017,7,uu,Diggersby,BAN
01-14-2017,1,14,2017,7,uu,Tornadus-Therian,BAN
01-14-2017,1,14,2017,7,uu,Volcarona,BAN
01-20-2017,1,20,2017,7,uu,Gyarados,BAN
01-20-2017,1,20,2017,7,uu,Porygon-Z,BAN
01-20-2017,1,20,2017,7,uu,Serperior,BAN
01-20-2017,1,20,2017,7,uu,Terrakion,BAN
01-26-2017,1,26,2017,7,uu,Breloom,BAN
01-26-2017,1,26,2017,7,uu,Thundurus-Therian,BAN
01-31-2017,1,31,2017,7,uu,Staraptor,BAN
01-31-2017,1,31,2017,7,uu,Victini,BAN
02-09-2017,2,9,2017,7,uu,Drizzle,BAN
02-09-2017,2,9,2017,7,uu,Azumarill,BAN
02-09-2017,2,9,2017,7,uu,Thundurus,BAN
04-10-2017,4,10,2017,7,uu,Terrakion,UNBAN
04-11-2017,4,11,2017,7,ou,Pheromosa,BAN
05-14-2017,5,14,2017,7,ou,Metagross-Mega,BAN
05-27-2017,5,27,2017,7,ou,Baton Pass,BAN
06-20-2017,6,20,2017,7,uu,Weavile,UNBAN
06-20-2017,6,20,2017,7,uu,Houndoom-Mega,BAN
07-06-2017,7,6,2017,7,ou,Marshadow,BAN
07-09-2017,7,9,2017,7,uu,Buzzwole,BAN
08-04-2017,8,4,2017,7,uu,Conkeldurr,BAN
08-06-2017,8,6,2017,7,uu,Manaphy,BAN
08-27-2017,8,27,2017,7,uu,Xurkitree,BAN
09-19-2017,9,19,2017,7,ou,Arena Trap,BAN
09-26-2017,9,26,2017,7,uu,Jirachi,BAN
10-15-2017,10,15,2017,7,uu,Weavile,BAN
